 jan58_u.dat	jan58_v.dat	31
 feb58_u.dat	feb58_v.dat	28
 mar58_u.dat	mar58_v.dat	31
 apr58_u.dat	apr58_v.dat	30
 may58_u.dat	may58_v.dat	31
 jun58_u.dat	jun58_v.dat	30
 jul58_u.dat	jul58_v.dat	31
 aug58_u.dat	aug58_v.dat	31
 sep58_u.dat	sep58_v.dat	30
 oct58_u.dat	oct58_v.dat	31
 nov58_u.dat	nov58_v.dat	30
 dec58_u.dat	dec58_v.dat	31
 jan59_u.dat	jan59_v.dat	31
 feb59_u.dat	feb59_v.dat	28
 mar59_u.dat	mar59_v.dat	31
 apr59_u.dat	apr59_v.dat	30
 may59_u.dat	may59_v.dat	31
 jun59_u.dat	jun59_v.dat	30
 jul59_u.dat	jul59_v.dat	31
 aug59_u.dat	aug59_v.dat	31
 sep59_u.dat	sep59_v.dat	30
 oct59_u.dat	oct59_v.dat	31
 nov59_u.dat	nov59_v.dat	30
 dec59_u.dat	dec59_v.dat	31
 jan60_u.dat	jan60_v.dat	31
 feb60_u.dat	feb60_v.dat	29
 mar60_u.dat	mar60_v.dat	31
 apr60_u.dat	apr60_v.dat	30
 may60_u.dat	may60_v.dat	31
 jun60_u.dat	jun60_v.dat	30
 jul60_u.dat	jul60_v.dat	31
 aug60_u.dat	aug60_v.dat	31
 sep60_u.dat	sep60_v.dat	30
 oct60_u.dat	oct60_v.dat	31
 nov60_u.dat	nov60_v.dat	30
 dec60_u.dat	dec60_v.dat	31
 jan61_u.dat	jan61_v.dat	31
 feb61_u.dat	feb61_v.dat	28
 mar61_u.dat	mar61_v.dat	31
 apr61_u.dat	apr61_v.dat	30
 may61_u.dat	may61_v.dat	31
 jun61_u.dat	jun61_v.dat	30
 jul61_u.dat	jul61_v.dat	31
 aug61_u.dat	aug61_v.dat	31
 sep61_u.dat	sep61_v.dat	30
 oct61_u.dat	oct61_v.dat	31
 nov61_u.dat	nov61_v.dat	30
 dec61_u.dat	dec61_v.dat	31
 jan62_u.dat	jan62_v.dat	31
 feb62_u.dat	feb62_v.dat	28
 mar62_u.dat	mar62_v.dat	31
 apr62_u.dat	apr62_v.dat	30
 may62_u.dat	may62_v.dat	31
 jun62_u.dat	jun62_v.dat	30
 jul62_u.dat	jul62_v.dat	31
 aug62_u.dat	aug62_v.dat	31
 sep62_u.dat	sep62_v.dat	30
 oct62_u.dat	oct62_v.dat	31
 nov62_u.dat	nov62_v.dat	30
 dec62_u.dat	dec62_v.dat	31
 jan63_u.dat	jan63_v.dat	31
 feb63_u.dat	feb63_v.dat	28
 mar63_u.dat	mar63_v.dat	31
 apr63_u.dat	apr63_v.dat	30
 may63_u.dat	may63_v.dat	31
 jun63_u.dat	jun63_v.dat	30
 jul63_u.dat	jul63_v.dat	31
 aug63_u.dat	aug63_v.dat	31
 sep63_u.dat	sep63_v.dat	30
 oct63_u.dat	oct63_v.dat	31
 nov63_u.dat	nov63_v.dat	30
 dec63_u.dat	dec63_v.dat	31
 jan64_u.dat	jan64_v.dat	31
 feb64_u.dat	feb64_v.dat	29
 mar64_u.dat	mar64_v.dat	31
 apr64_u.dat	apr64_v.dat	30
 may64_u.dat	may64_v.dat	31
 jun64_u.dat	jun64_v.dat	30
 jul64_u.dat	jul64_v.dat	31
 aug64_u.dat	aug64_v.dat	31
 sep64_u.dat	sep64_v.dat	30
 oct64_u.dat	oct64_v.dat	31
 nov64_u.dat	nov64_v.dat	30
